,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Question,Equation
25,25,25,25,25,25,25,25,25,25,Danny collects bottle caps and wrappers. He found p wrappers and q bottle caps at the park. Now he has r bottle caps and s wrappers in his collection. How many more wrappers than bottle caps did danny find at the park?,( p - q )
26,26,26,26,26,26,26,26,26,26,Because of the decision Sofia asked the students to suggest specific types of food from a total of p choices. If q students suggested adding mashed potatoes r suggested adding bacon to the menu and the rest did not participate How many students participated in the suggestion of new food items?,( q + r )
27,27,27,27,27,27,27,27,27,27,Matthew gave equal numbers of crackers and cakes to his p friends. If he had q crackers and r cakes initially How many crackers and cakes did each person eat?,( ( q + r ) / p )
28,28,28,28,28,28,28,28,28,28,"A grocery store had p bottles of regular soda, q bottles of diet soda and r bottles of lite soda. How many bottles of regular soda and diet soda did they have altogether?",( q + p )
29,29,29,29,29,29,29,29,29,29,"Dan has $ p. He bought q candy bar for $ r, each one costing the same amount of money. How much did each candy bar cost?",( r / q )
30,30,30,30,30,30,30,30,30,30,Tiffany was collecting cans for recycling. On monday she had p bags of cans. The next day she found q more bags worth of cans. How many more bags did she find on the next day than she had on monday?,( q - p )
31,31,31,31,31,31,31,31,31,31,There were p roses and q orchids in the vase. Jessica cut some more roses and orchids from her flower garden. There are now r roses and s orchids in the vase. How many roses did she cut?,( r - p )
32,32,32,32,32,32,32,32,32,32,There are some baskets of peaches. Each basket has p red peaches and q green peaches. If there are a total of r peaches in all baskets How many baskets of peaches are there?,( r / ( p + q ) )
33,33,33,33,33,33,33,33,33,33,There were p dollars in Olivia's wallet. She spent q dollars at a supermarket. How much money does she have left?,( p - q )
34,34,34,34,34,34,34,34,34,34,"Jack received p emails in the morning, q emails in the afternoon and some more in the evening. If he received a total of r emails in the day How many emails did Jack receive in the afternoon?",( r - ( p + q ) )
35,35,35,35,35,35,35,35,35,35,Dan has $ p. He bought a candy bar for $ q. Then his friend gave him $ r How much money is left?,( ( p - q ) + r )
36,36,36,36,36,36,36,36,36,36,"After eating a hearty meal they went to see the Buckingham palace. There, Rachel learned that p visitors came to the Buckingham palace on the previous day. If there were q visitors on that day How many visited the Buckingham palace within r days?",( q + p )
37,37,37,37,37,37,37,37,37,37,For Gwen's birthday she received p dollars from her dad. Her mom gave her q more dollars. If she spent r dollars. How much more money did she receive from her mom than she did from her dad?,( q - p )
38,38,38,38,38,38,38,38,38,38,There are p bananas and q oranges in Philip's collection. If the bananas are organized into r groups and oranges are organized into s groups How big is each group of oranges?,( q / s )
39,39,39,39,39,39,39,39,39,39,There are p different books and q different movies in the ' crazy silly school ' series. If you read r of the movies and watched s of the books How many more movies than books have you read?,( r - s )
40,40,40,40,40,40,40,40,40,40,Mary is baking a cake. The recipe calls for p cups of flour and q cups of sugar. She already put in some cups of flour. If she still needs 2 more cups of flour How many cups of flour did she put in?,( p - r )
41,41,41,41,41,41,41,41,41,41,Danny collects bottle caps and wrappers. He found p wrappers and q bottle caps at the park. Now he has r bottle caps and s wrappers in his collection. How many more bottle caps than wrappers did danny find at the park?,( q - p )
42,42,42,42,42,42,42,42,42,42,Luke played p rounds of a trivia game. If he gained q points in each round How many points did he score in the game?,( p * q )
43,43,43,43,43,43,43,43,43,43,p birds and q storks were sitting on the fence. 2 more birds came to join them. How many more birds than storks are sitting on the fence?,( ( p + r ) - q )
44,44,44,44,44,44,44,44,44,44,"The grasshopper, the frog and the mouse had a jumping contest. The grasshopper jumped p inches. The mouse jumped q inches lesser than the frog who jumped r inches farther than the grasshopper. How far did the mouse jump?",( ( p + r ) - q )
45,45,45,45,45,45,45,45,45,45,Zachary did p push-ups and q crunches in gym class today. David did r more push-ups but s less crunches than zachary. How many more push-ups than crunches did Zachary do?,( p - q )
46,46,46,46,46,46,46,46,46,46,"Jack received p emails in the morning, q emails in the afternoon and r emails in the evening. How many emails did Jack receive in the afternoon and evening?",( q + r )
47,47,47,47,47,47,47,47,47,47,Jerry had p action figures on a shelf in his room. Later he added some more action figures to the shelf and removed q of the old ones. If there are r action figures on his shelf now How many action figures did he add to the shelf?,( ( r + q ) - p )
48,48,48,48,48,48,48,48,48,48,Julia played tag with p kids on monday. She played tag with q kids on tuesday. She spent a total of r hours to play tag on both days. How many kids did she play with altogether?,( p + q )
49,49,49,49,49,49,49,49,49,49,Nell collects cards. She had p baseball cards and q Ace cards. She gave some of her cards to Jeff and now has r baseball cards and s Ace cards left. How many more baseball cards than Ace cards does Nell have?,( r - s )
50,50,50,50,50,50,50,50,50,50,"At the zoo, a cage had p snakes and q alligators. If r alligators were hiding How many alligators were not hiding?",( q - r )
51,51,51,51,51,51,51,51,51,51,You have read p books from the ' crazy silly school ' series. If there are a total of q different books in the ' crazy silly school ' series How many more do you still have to read?,( q - p )
52,52,52,52,52,52,52,52,52,52,Emily is making bead necklaces for her p friends. She had q beads and she was able to make r necklaces. How many beads did each necklace need?,( q / r )
53,53,53,53,53,53,53,53,53,53,Frank put p pieces of candy in each bag. If he had q pieces of candy How many bags would he have?,( q / p )
54,54,54,54,54,54,54,54,54,54,A waiter had p customers. After some left he still had q customers. Then he got r new customers How many customers does he have now?,( q + r )
55,55,55,55,55,55,55,55,55,55,A farmer had p tomatoes in his garden. If he picked q of them yesterday and r today. How many tomatoes did he pick in all?,( q + r )
56,56,56,56,56,56,56,56,56,56,"p red peaches, q yellow peaches and r green peaches are in the basket. How many green and yellow peaches are in the basket?",( r + q )
57,57,57,57,57,57,57,57,57,57,Winter is almost here and most animals are migrating to warmer countries. There were p bird families living near the mountain. If q bird families flew away for winter How many more bird families flew away for the winter than those that stayed behind?,( q - ( p - q) )
58,58,58,58,58,58,58,58,58,58,There were p roses and q orchids in the vase. Jessica cut some more roses and orchids from her flower garden. There are now r orchids and s roses in the vase. How many more orchids than roses are there in the vase now?,( r - s )
59,59,59,59,59,59,59,59,59,59,"After eating a hearty meal they went to see the Buckingham palace. There were p paintings in the Buckingham palace. There, Rachel learned that q visitors came to the Buckingham palace that day. If there were r visitors the previous day How many more visitors visited the Buckingham palace on that day than on the previous day?",( q - r )
60,60,60,60,60,60,60,60,60,60,A waiter had p customers. While q customers left he got r new customers. How many customers does he still have?,( ( p - q ) + r )
61,61,61,61,61,61,61,61,61,61,Emily is making bead necklaces for her p friends. She has q beads and each necklace takes r beads. How many necklaces can Emily make?,( q / r )
62,62,62,62,62,62,62,62,62,62,He also had p aquariums for saltwater animals. The aquarium had q saltwater animals in total and every aquarium had the same number of animals. How many saltwater animals does each aquarium have?,( q / p )
63,63,63,63,63,63,63,63,63,63,Mary is baking a cake. The recipe calls for p cups of flour and q cups of sugar. She already put in some cups of flour. If she still needs 2 more cups of flour than sugar How many cups of flour did she put in?,( ( p - q ) - r )
64,64,64,64,64,64,64,64,64,64,Baker made p cakes and q pastries. If he sold r cakes and s pastries How many cakes would baker still have?,( p - r )
65,65,65,65,65,65,65,65,65,65,Dave had p files and q apps on his phone. After deleting some apps and files he had r apps and s files left. How many files did he delete?,( p - s )
66,66,66,66,66,66,66,66,66,66,An industrial machine made p shirts yesterday and q shirts today. It can make 2 shirts a minute. How many minutes did the machine work today?,( q / r )
67,67,67,67,67,67,67,67,67,67,Rebecca wants to split a collection of eggs into p groups. Rebecca has q marbles and r eggs. How many eggs will each group have?,( r / p )
68,68,68,68,68,68,68,68,68,68,Matthew had some crackers. If Matthew gave p crackers to each of his q friends How many crackers did Matthew have?,( q * p )
69,69,69,69,69,69,69,69,69,69,Olivia spent p dollars at a supermarket. If she has q dollars left with her How much money did she have initially?,( p + q )
70,70,70,70,70,70,70,70,70,70,If Lewis earns $ p every week during the q weeks of a harvest season. How much money will he earn if he works for r harvest seasons?,( ( p * q ) * r )
71,71,71,71,71,71,71,71,71,71,Because of the decision Sofia asked p students to suggest specific types of food. q students suggested adding mashed potatoes while others suggested adding bacon to the menu. How many students suggested bacon?,( p - q )
72,72,72,72,72,72,72,72,72,72,Jack received p emails and q letters in the morning. He then received r emails and s letters in the afternoon. How many emails did jack receive in the day?,( p + r )
73,73,73,73,73,73,73,73,73,73,Paco had p cookies. He ate q of them. Then he bought r more cookies How many cookies did Paco have left?,( ( p - q ) + r )
74,74,74,74,74,74,74,74,74,74,Because of the decision Sofia asked the students to suggest specific types of food. If p students suggested adding mashed potatoes as well as bacon while q suggested adding only bacon to the menu How many students suggested adding bacon?,( p + q )
75,75,75,75,75,75,75,75,75,75,If each bag has p cookies and you had q bags of cookies How many cookies would you have?,( q * p )
76,76,76,76,76,76,76,76,76,76,Rachel had to complete p pages of reading homework and q pages of math homework. How many more pages of math homework than reading homework did she have?,( q - p )
77,77,77,77,77,77,77,77,77,77,Allan brought p balloons and Jake brought q balloons to the park. Allan then bought r more balloons at the park. How many balloons did Allan bring to the park?,( p + r )
78,78,78,78,78,78,78,78,78,78,"Julia played tag with p kids on monday, q kids on tuesday and r kids on wednesday. How many more kids did she play with on tuesday than on wednesday?",( q - r )
79,79,79,79,79,79,79,79,79,79,The Razorback shop makes $ p dollars off each jersey and $ q off each t-shirt. During the Arkansas and Texas tech game they sold r t-shirts and s jerseys. How much money did they make from selling the t-shirts?,( q * r )
80,80,80,80,80,80,80,80,80,80,p children were riding on the bus. At the bus stop q children got off the bus while some more got on the bus. Then there were r children altogether on the bus. How many more children got off the bus than those that got on?,( p - r )
81,81,81,81,81,81,81,81,81,81,Brenda's mother made p cookies for q guests. If each of them had the same number of cookies How many did each of them have?,( p / q )
82,82,82,82,82,82,82,82,82,82,Tiffany was collecting cans for recycling. On monday she had p bags of cans. The next day she found some more bags worth of cans. If she had a total of q bags altogether How many bags did she find on the next day?,( q - p )
83,83,83,83,83,83,83,83,83,83,In a school there are p girls and q boys. r more girls joined the school. How many more girls than boys does the school have?,( ( p + r ) - q )
84,84,84,84,84,84,84,84,84,84,Emily is making bead necklaces for her friends where each necklace takes p beads. She made q necklaces. How many beads did Emily have?,( q * p )
85,85,85,85,85,85,85,85,85,85,Randy has p blocks. He uses q blocks to build a house and r blocks to build a tower. How many more blocks did he use to build the tower than he did to build the house?,( r - q )
86,86,86,86,86,86,86,86,86,86,p birds and q storks were sitting on the fence. r more birds came to join them. How many more storks than birds are sitting on the fence?,( q - ( p + r ) )
87,87,87,87,87,87,87,87,87,87,The Razorback t-shirt shop made $ p dollars from selling q t-shirt during the Arkansas and Texas tech game they. What is the cost of each t-shirt?,( p / q )
88,88,88,88,88,88,88,88,88,88,Paco had p cookies. He ate q cookies and gave r of them to his friend. How many more cookies did he give to his friend than those he ate?,( r - q )
89,89,89,89,89,89,89,89,89,89,"After eating a hearty meal they went to see the Buckingham palace. There, Rachel learned that p visitors came to the Buckingham palace that day. If there were q visitors the previous day How many more visitors visited the Buckingham palace on that day than on the previous day?",( p - q )
90,90,90,90,90,90,90,90,90,90,Josh had p marbles in his collection. He found q marbles while he lost r marbles. How many more marbles did he find than those he lost?,( q - r )
91,91,91,91,91,91,91,91,91,91,Because of the decision Sofia asked the students to suggest specific types of food. If p students suggested adding mashed potatoes while q suggested adding bacon to the menu How many more students suggested mashed potatoes than those that suggested bacon?,( p - q )
92,92,92,92,92,92,92,92,92,92,Paco had p cookies. He ate q cookies and gave r of them to his friend. How many cookies did paco have left?,( ( p - q ) - r )
93,93,93,93,93,93,93,93,93,93,Paco had p cookies. He ate q cookies and gave r of them to his friend. How many more cookies did he eat than those he gave to his friend?,( q - r )
94,94,94,94,94,94,94,94,94,94,Julia played tag with p kids on monday. She played tag with q kids on tuesday. She spent a total of r hours to play tag on both days. How many more kids did she play with on monday than on tuesday?,( p - q )
95,95,95,95,95,95,95,95,95,95,Dan has $ p. He bought a candy bar for $ q and a chocolate for $ r. How much money did he spend to buy chocolate than he did to buy candy bar?,( r - q )
96,96,96,96,96,96,96,96,96,96,Ed had p more marbles than Doug. Ed lost q of his marbles at the playground. How many more marbles did Ed have than Doug then?,( p - q )
97,97,97,97,97,97,97,97,97,97,"The grasshopper, the frog and the mouse had a jumping contest. The grasshopper jumped p inches. The frog jumped q inches farther than the grasshopper and the mouse jumped r inches farther than the frog. How much farther did the mouse jump than the grasshopper?",( q + r )
98,98,98,98,98,98,98,98,98,98,Frank was reading through his favorite book. It took him p days to finish the book. If the book had q pages How many pages did he read per day?,( q / p )
99,99,99,99,99,99,99,99,99,99,There are p different books in the ' crazy silly school ' series. If you are yet to read q of the books How many books have you already read?,( p - q )
100,100,100,100,100,100,100,100,100,100,Allan brought p balloons and Jake brought q balloons to the park. Allan then bought 2 more balloons at the park. How many balloons did Allan and Jake have in the park?,( ( p + q ) + r )
101,101,101,101,101,101,101,101,101,101,Josh lost p marbles. If he had q marbles in his collection earlier How many marbles does he have now?,( q - p )
102,102,102,102,102,102,102,102,102,102,Allan brought p balloons and Jake brought q balloons to the park. Jake then bought r more balloons at the park. How many more balloons did Jake have than Allan in the park?,( ( q + r ) - p )
103,103,103,103,103,103,103,103,103,103,Faye was placing her pencils into p rows with q pencils in each row. How many pencils does she have?,( p * q )
104,104,104,104,104,104,104,104,104,104,A grocery store had p bottles of regular soda and q bottles of diet soda. How many more bottles of diet soda than regular soda did they have?,( q - p )
105,105,105,105,105,105,105,105,105,105,There are p baskets of peaches. Each basket has q red peaches and r green peaches. How many red peaches are in the baskets altogether?,( q * p )
106,106,106,106,106,106,106,106,106,106,During summer break p kids from Lawrence county go to camp and the rest stay home. Lawrence county has q kids in all. About how many kids stayed home?,( q - p )
107,107,107,107,107,107,107,107,107,107,There are p pots. Each pot has q flowers and r sticks in it. How many flowers are there in all?,( p * q )
108,108,108,108,108,108,108,108,108,108,Allan brought p balloons and Jake brought q balloons to the park. Allan then bought r more balloons at the park. How many more balloons did Allan have than Jake in the park?,( ( p + r ) - q )
109,109,109,109,109,109,109,109,109,109,"A chef had p apples. After making some pies, he had used q. How many apples remained?",( p - q )
110,110,110,110,110,110,110,110,110,110,You had p bags with equal number of cookies. If you had q candies and r cookies in total How many cookies does each bag have?,( r / p )
111,111,111,111,111,111,111,111,111,111,He then went to see the oranges being harvested. He found out that they harvest p sacks per day and that each sack containes q oranges. How many sacks of oranges will they have after r days of harvest?,( p * r )
112,112,112,112,112,112,112,112,112,112,There were p roses and q orchids in the vase. Jessica cut some more roses and orchids from her flower garden. There are now r orchids and s roses in the vase. How many orchids did she cut?,( r - q )
113,113,113,113,113,113,113,113,113,113,"Jack received p emails in the morning, q emails in the afternoon and r emails in the evening. How many more emails did Jack receive in the afternoon than in the evening?",( q - r )
114,114,114,114,114,114,114,114,114,114,Faye was placing her pencils into rows with p pencils in each row. She had q packs of pencils each one having r pencils. How many pencils does she have?,( q * r )
115,115,115,115,115,115,115,115,115,115,A farmer had p tomatoes in his garden. If he picked q of them yesterday and r today. How many did he have left after yesterday's picking?,( p - q )
116,116,116,116,116,116,116,116,116,116,Each pot has p flowers in it. There are p flowers in total. How many pots are there in all?,( q / p )
117,117,117,117,117,117,117,117,117,117,p campers went rowing in the morning. Some more campers went rowing in the afternoon. If a total of q campers went rowing that day How many campers went rowing in the afternoon?,( q - p )
118,118,118,118,118,118,118,118,118,118,Because of the decision Sofia asked the students to suggest specific types of food. If p students suggested adding mashed potatoes while q suggested adding bacon to the menu How many more students suggested bacon than those that suggested mashed potatoes?,( q - p )
119,119,119,119,119,119,119,119,119,119,Ed had p more marbles than Doug. Doug lost q of his marbles at the playground. If Ed had r marbles How many marbles did Doug have initially?,( r - p )
120,120,120,120,120,120,120,120,120,120,Rachel had to complete p pages of math homework. If she had to complete q more pages of math homework than reading homework How many pages of reading homework did she have to complete?,( p - q )
121,121,121,121,121,121,121,121,121,121,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked p chocolate chip cookies yesterday and q raisin cookies and r chocolate chip cookies this morning. How many more chocolate chip cookies than raisin cakes did Helen bake?,( ( p + r ) - q )
122,122,122,122,122,122,122,122,122,122,Tiffany was collecting cans for recycling. On monday she had some bags of cans. The next day she found p more bags worth of cans. If she had a total of q bags altogether How many bags did she have on monday?,( q - p )
123,123,123,123,123,123,123,123,123,123,Danny collects bottle caps. He found p bottle caps at the park while he threw away q old ones. Now he has r bottle caps in his collection. How many more bottle caps did danny throw away than those he found at the park?,( q - p )
124,124,124,124,124,124,124,124,124,124,Mary is baking a cake. The recipe calls for p cups of sugar and q cups of flour. She already put in r cups of sugar. How many more cups of flour than cups of sugar does she need to add now?,( q - ( p - r ) )
125,125,125,125,125,125,125,125,125,125,Kelly has p nintendo games. How many does she need to buy so that she will have q games left?,( q - p )
126,126,126,126,126,126,126,126,126,126,Mom buys p white t - shirts in total. If white t - shirts can be purchased in packages and mom buys q packages How many white t - shirts does each package have?,( p / q )
127,127,127,127,127,127,127,127,127,127,A farmer had p tomatoes in his garden. If he picked q of them yesterday and r today. How many will he have left after today?,( ( p - q ) - r )
128,128,128,128,128,128,128,128,128,128,Last week Fred had p dollars and Jason had q dollars. Over the weekend Fred delivered newspapers earning r dollars and washed cars earning s dollars. How much money does Fred have now?,( ( p + r ) + s )
129,129,129,129,129,129,129,129,129,129,Mary is baking a cake. The recipe calls for p cups of sugar and q cups of flour. She already put in r cups of flour and p cups of sugar. How many more cups of flour does she need to add?,( q - r )
130,130,130,130,130,130,130,130,130,130,There were p roses and q orchids in the vase. Jessica cut some more roses and orchids from her flower garden. There are now r roses and s orchids in the vase. How many more orchids than roses are there in the vase now?,( s - r )
131,131,131,131,131,131,131,131,131,131,After Jessie started to go jogging everyday she lost p kilograms. She weighed q kilograms before beginning jogging. How much does she weigh now?,( q - p )
132,132,132,132,132,132,132,132,132,132,p children were riding on the bus. At the bus stop q children got on the bus while some got off the bus. Then there were 2 children altogether on the bus. How many children got off the bus at the bus stop?,( ( p + q ) - r )
133,133,133,133,133,133,133,133,133,133,There are p different books and q different movies in the ' crazy silly school ' series. If you read r of the books and watched s of the movies How many more books than movies have you read?,( r - s )
134,134,134,134,134,134,134,134,134,134,Emily is making bead necklaces for her friends. She made p necklaces and each necklace takes q beads. How many beads did Emily have?,( p * q )
135,135,135,135,135,135,135,135,135,135,A farmer had p tomatoes and q potatoes in his garden. If he picked r potatoes How many tomatoes and potatoes does he have left?,( ( p + q ) - r )
136,136,136,136,136,136,136,136,136,136,Last week Fred had p dollars and Jason had q dollars. Fred washed cars over the weekend and now has r dollars. Jason delivered newspapers and now has s dollars. How much money did they earn by washing cars?,( r - p )
137,137,137,137,137,137,137,137,137,137,A mailman has to give p pieces of junk mail to each house in each block. If there are q houses on a block How many pieces of junk mail should he give in each block?,( p * q )
138,138,138,138,138,138,138,138,138,138,Matthew gave equal numbers of crackers and cakes to his p friends. If he had q crackers and r cakes initially How many cakes did each person eat?,( r / p )
139,139,139,139,139,139,139,139,139,139,Jessica cut some roses from her flower garden to put in her vase. There are now p roses in the vase. If there were q roses in the vase initially How many roses did she cut?,( p - q )
140,140,140,140,140,140,140,140,140,140,p children were riding on the bus. At the bus stop q children got on the bus while some got off the bus. Then there were r children altogether on the bus. How many more children got off the bus than those that got on?,( p - r )
141,141,141,141,141,141,141,141,141,141,A book has p chapters. The first chapter is q pages long the second chapter is r pages long and the third chapter is s pages long. How many pages does the book have altogether?,( ( q + r ) + s )
142,142,142,142,142,142,142,142,142,142,"p red peaches, q yellow peaches and r green peaches are in the basket. How many peaches are in the basket?",( ( p + q ) + r )
143,143,143,143,143,143,143,143,143,143,Paige was helping her mom plant flowers and they put p seeds in each flower bed. If they planted q seeds altogther How many flower beds did they have?,( q / p )
144,144,144,144,144,144,144,144,144,144,Because of the decision Sofia asked the students to suggest specific types of food. If p students suggested adding mashed potatoes q suggested adding bacon to the menu and r suggested adding tomatoes How many more students suggested mashed potatoes than those that suggested bacon?,( p - q )
145,145,145,145,145,145,145,145,145,145,In a school there are p girls and q boys. r more girls and s more boys joined the school. How many boys are there in the school now?,( q + s )
146,146,146,146,146,146,146,146,146,146,After resting they decided to go for a swim. If the depth of the water is p times Dean's height and he stands at q feet How much deeper is the water than Dean's height?,( ( p * q ) - q)
147,147,147,147,147,147,147,147,147,147,Next on his checklist is wax to stick the feathers together. He needs p g of wax more. If the feathers require a total of q g of wax How many grams of wax does he already have?,( q - p )
148,148,148,148,148,148,148,148,148,148,Frank was reading through his favorite book. He read p pages per day. If the book had q pages How many days did he take to finish the book?,( q / p )
149,149,149,149,149,149,149,149,149,149,There are a total of p peaches in a basket. If there are q red peaches and some more green peaches in the basket. How many green peaches are in the basket?,( p - q )
150,150,150,150,150,150,150,150,150,150,After resting they decided to go for a swim. The depth of the water is p times Dean's height. Dean is q feet shorter than Ron. If Ron stands at r feet How deep was the water?,( ( r - q ) * p )
151,151,151,151,151,151,151,151,151,151,There are p pots in each of the q gardens. Each pot has r flowers in it. How many flowers are there in all?,( ( p * q ) * r )
152,152,152,152,152,152,152,152,152,152,Paige was helping her mom plant flowers and together they planted some seeds. They put p seeds in each flower bed. If there are q flowerbeds How many seeds did they plant?,( p * q )
153,153,153,153,153,153,153,153,153,153,Marco and his dad went strawberry picking. Together their strawberries weighed p pounds. Marco's strawberries weighed q pounds. How much more did his strawberries weigh than his dad's?,( q - ( p - q) )
154,154,154,154,154,154,154,154,154,154,Julia played tag with p kids on wednesday. She had played with q kids on monday and r kids on tuesday. How many more kids did she play with on monday than on wednesday?,( q - p )
155,155,155,155,155,155,155,155,155,155,Carol was sending out birthday invitations to p friends. If each package of invitations she bought had q invitations in it How many packs does she need so that no friend gets left out?,( p / q )
156,156,156,156,156,156,156,156,156,156,"A grocery store had p apples, q bottles of regular soda and r bottles of diet soda. How many more bottles than apple did they have?",( ( q + r ) - p )
157,157,157,157,157,157,157,157,157,157,"The grasshopper, the frog and the mouse had a jumping contest. The grasshopper jumped p inches. The mouse jumped q inches lesser than the frog who jumped r inches farther than the grasshopper. How much farther did the mouse jump than the grasshopper?",( r - q )
158,158,158,158,158,158,158,158,158,158,Faye was placing her pencils and crayons into p rows with q pencils and r crayons in each row. How many pencils and crayons does she have altogether?,( ( q + r ) * p )
159,159,159,159,159,159,159,159,159,159,The school is planning a field trip. The school has p classrooms. There are q students in the school with each classroom having the same number of students. If there are 2 seats on each school bus. How many buses are needed to take the trip?,( q / r )
160,160,160,160,160,160,160,160,160,160,Emily is making bead necklaces for her friends. She had p beads and she was able to make q necklaces. How many beads did each necklace need?,( q / p )
161,161,161,161,161,161,161,161,161,161,Paige raised p goldfish and q catfish in the pond but stray cats loved eating them. Now she has r left. How many fishes disappeared?,( ( p + q ) - r )
162,162,162,162,162,162,162,162,162,162,Paco had p sweet cookies and q salty cookies. He ate r salty cookies and s sweet cookies. How many more salty cookies than sweet cookies did he eat?,( r - s )
163,163,163,163,163,163,163,163,163,163,Steven has p peaches. Jake has q fewer peaches than Steven and r more peaches than Jill. How many peaches does Jill have?,( ( p - q ) - r )
164,164,164,164,164,164,164,164,164,164,Paul had p books. He sold q books in a garage sale. How many books does he have left with him?,( p - q )
165,165,165,165,165,165,165,165,165,165,An industrial machine made p shirts yesterday and q shirts today. It can make r shirts a minute. How many minutes did the machine work in all?,( ( p + q ) / r )
166,166,166,166,166,166,166,166,166,166,Carol was sending out birthday invitations to her friends. Each package of invitations she bought had p invitations in it and she bought q packs. Then she bought r extra invitations. How many friends can she invite?,( ( p * q ) + r )
167,167,167,167,167,167,167,167,167,167,An industrial machine can make p shirts per minute. It made q shirts in all. How many minutes was the machine working?,( q / p )
168,168,168,168,168,168,168,168,168,168,Danny collects bottle caps. He found p bottle caps at the park while he threw away q old ones. Now he has r bottle caps in his collection. How many bottle caps did danny have at first?,( ( r + q ) - p )
