,ID,Type,Symbolic Problem,Symbolic Equation,Variables,Numbers,Prompt
10,chal-11,Subtraction,<1> birds were sitting on the fence. <2> more storks and <3> more birds came to join them. How many more storks than birds are sitting on the fence?,( <2> - ( <1> + <3> ) ),"['<1>', '<2>', '<3>']","['3', '6', '2']",3 birds were sitting on the fence. 6 more storks and 2 more birds came to join them. How many more storks than birds are sitting on the fence?
11,chal-12,Multiplication,They decided to hold the party in their backyard. If they have <1> sets of tables and each set has <2> chairs How many chairs do they have in the backyard?,( <1> * <2> ),"['<1>', '<2>']","['11', '13']",They decided to hold the party in their backyard. If they have 11 sets of tables and each set has 13 chairs how many chairs do they have in the backyard?
12,chal-13,Subtraction,In a school there are <1> more girls than boys. If there are <2> girls How many pupils are there in that school?,( ( <2> + <2> ) - <1> ),"['<1>', '<2>']","['458', '692']",In a school there are 458 more girls than boys. If there are 692 girls how many pupils are there in that school?
13,chal-14,Multiplication,After resting they decided to go for a swim. The depth of the water is <1> times Dean's height. Dean is <2> feet taller than Ron. If Ron stands at <3> feet How deep was the water?,( ( <2> + <3> ) * <1> ),"['<1>', '<2>', '<3>']","['15', '4', '13']",After resting they decided to go for a swim. The depth of the water is 15 times Dean's height. Dean is 4 feet taller than Ron. If Ron stands at 13 feet how deep was the water?
14,chal-15,Addition,<1> birds were sitting on the fence. <2> more birds and <3> more storks came to join them. How many birds are sitting on the fence?,( <1> + <2> ),"['<1>', '<2>', '<3>']","['6', '4', '8']",6 birds were sitting on the fence. 4 more birds and 8 more storks came to join them. How many birds are sitting on the fence?
15,chal-16,Subtraction,Marco and his dad went strawberry picking. Together they collected strawberries that weighed <1> pounds. On the way back Marco ' dad lost <2> pounds of strawberries. Marco's strawberries now weighed <3> pounds. How much did his dad's strawberries weigh now?,( ( <1> - <3> ) - <2> ),"['<1>', '<2>', '<3>']","['36', '8', '12']",Marco and his dad went strawberry picking. Together they collected strawberries that weighed 36 pounds. On the way back Marco ' dad lost 8 pounds of strawberries. Marco's strawberries now weighed 12 pounds. How much did his dad's strawberries weigh now?
16,chal-17,Subtraction,In a school there are <1> girls and the rest are boys. If there are <2> more girls than boys How many boys are there in that school?,( <1> - <2> ),"['<1>', '<2>']","['697', '228']",In a school there are 697 girls and the rest are boys. If there are 228 more girls than boys how many boys are there in that school?
17,chal-18,Addition,In a school there are <1> girls and <2> boys. <3> more girls and <4> more boys joined the school. How many girls are there in the school now?,( <1> + <3> ),"['<1>', '<2>', '<3>', '<4>']","['732', '761', '682', '8']",In a school there are 732 girls and 761 boys. 682 more girls and 8 more boys joined the school. How many girls are there in the school now?
18,chal-19,Subtraction,Danny collects bottle caps and wrappers. He found <1> bottle caps and <2> wrappers at the park. Now he has <3> bottle caps and <4> wrappers in his collection. How many wrappers did danny have at first?,( <4> - <2> ),"['<1>', '<2>', '<3>', '<4>']","['22', '30', '17', '57']",Danny collects bottle caps and wrappers. He found 22 bottle caps and 30 wrappers at the park. Now he has 17 bottle caps and 57 wrappers in his collection. How many wrappers did danny have at first?
19,chal-20,Subtraction,Paul got a box of <1> erasers and <2> crayons for his birthday. At the end of the school year he only had <3> crayons left while not having lost a single eraser. How many more crayons than erasers did he have left?,( <3> - <1> ),"['<1>', '<2>', '<3>']","['457', '617', '523']",Paul got a box of 457 erasers and 617 crayons for his birthday. At the end of the school year he only had 523 crayons left while not having lost a single eraser. How many more crayons than erasers did he have left?
20,chal-21,Addition,Baker made <1> cakes. He sold <2> of them and bought <3> new cakes. How many cakes does baker still have?,( ( <1> - <2> ) + <3> ),"['<1>', '<2>', '<3>']","['121', '105', '170']",Baker made 121 cakes. He sold 105 of them and bought 170 new cakes. How many cakes does baker still have?
21,chal-22,Multiplication,An industrial machine worked for <1> minutes. It can make <2> shirts a minute. How many shirts did machine make?,( <2> * <1> ),"['<1>', '<2>']","['5', '4']",An industrial machine worked for 5 minutes. It can make 4 shirts a minute. How many shirts did machine make?
22,chal-23,Common-Division,The bananas in Philip's collection are organized into groups of size <1>. If there are a total of <1> bananas in Philip's banana collection How many groups are there?,( <2> / <1> ),"['<1>', '<2>']","['18', '180']",The bananas in Philip's collection are organized into groups of size 18. If there are a total of 180 bananas in Philip's banana collection how many groups are there?
23,chal-24,Subtraction,There were some birds sitting on the fence. <1> more birds came to join them. If there are a total of <2> birds on the fence now How many birds had been sitting on the fence at the start?,( <2> - <1> ),"['<1>', '<2>']","['4', '5']",There were some birds sitting on the fence. 4 more birds came to join them. If there are a total of 5 birds on the fence now how many birds had been sitting on the fence at the start?
24,chal-25,Subtraction,Jerry had <1> action figures on a shelf in his room. Later he added <2> more action figures to the shelf and removed some of the old ones. If there are <3> action figures on his shelf now How many action figures did he remove from the shelf?,( ( <1> + <2> ) - <3> ),"['<1>', '<2>', '<3>']","['3', '4', '6']",Jerry had 3 action figures on a shelf in his room. Later he added 4 more action figures to the shelf and removed some of the old ones. If there are 6 action figures on his shelf now how many action figures did he remove from the shelf?
25,chal-26,Subtraction,Danny collects bottle caps and wrappers. He found <1> wrappers and <2> bottle caps at the park. Now he has <3> bottle caps and <4> wrappers in his collection. How many more wrappers than bottle caps did danny find at the park?,( <1> - <2> ),"['<1>', '<2>', '<3>', '<4>']","['65', '5', '31', '9']",Danny collects bottle caps and wrappers. He found 65 wrappers and 5 bottle caps at the park. Now he has 31 bottle caps and 9 wrappers in his collection. How many more wrappers than bottle caps did danny find at the park?
26,chal-27,Addition,Because of the decision Sofia asked the students to suggest specific types of food from a total of <1> choices. If <2> students suggested adding mashed potatoes <3> suggested adding bacon to the menu and the rest did not participate How many students participated in the suggestion of new food items?,( <2> + <3> ),"['<1>', '<2>', '<3>']","['66', '450', '38']",Because of the decision Sofia asked the students to suggest specific types of food from a total of 66 choices. If 450 students suggested adding mashed potatoes 38 suggested adding bacon to the menu and the rest did not participate how many students participated in the suggestion of new food items?
27,chal-28,Common-Division,Matthew gave equal numbers of crackers and cakes to his <1> friends. If he had <2> crackers and <3> cakes initially How many crackers and cakes did each person eat?,( ( <2> + <3> ) / <1> ),"['<1>', '<2>', '<3>']","['28', '13', '15']",Matthew gave equal numbers of crackers and cakes to his 28 friends. If he had 13 crackers and 15 cakes initially how many crackers and cakes did each person eat?
28,chal-29,Addition,"A grocery store had <1> bottles of regular soda, <2> bottles of diet soda and <3> bottles of lite soda. How many bottles of regular soda and diet soda did they have altogether?",( <2> + <1> ),"['<1>', '<2>', '<3>']","['49', '40', '6']","A grocery store had 49 bottles of regular soda, 40 bottles of diet soda and 6 bottles of lite soda. How many bottles of regular soda and diet soda did they have altogether?"
29,chal-30,Common-Division,"Dan has $ <1>. He bought <2> candy bar for $ <3>, each one costing the same amount of money. How much did each candy bar cost?",( <3> / <2> ),"['<1>', '<2>', '<3>']","['3', '2', '4']","Dan has $ 3. He bought 2 candy bar for $ 4, each one costing the same amount of money. How much did each candy bar cost?"
30,chal-31,Subtraction,Tiffany was collecting cans for recycling. On monday she had <1> bags of cans. The next day she found <2> more bags worth of cans. How many more bags did she find on the next day than she had on monday?,( <2> - <1> ),"['<1>', '<2>']","['7', '12']",Tiffany was collecting cans for recycling. On monday she had 7 bags of cans. The next day she found 12 more bags worth of cans. How many more bags did she find on the next day than she had on monday?
31,chal-32,Subtraction,There were <1> roses and <2> orchids in the vase. Jessica cut some more roses and orchids from her flower garden. There are now <3> roses and <4> orchids in the vase. How many roses did she cut?,( <3> - <1> ),"['<1>', '<2>', '<3>', '<4>']","['15', '62', '17', '96']",There were 15 roses and 62 orchids in the vase. Jessica cut some more roses and orchids from her flower garden. There are now 17 roses and 96 orchids in the vase. How many roses did she cut?
32,chal-33,Common-Division,There are some baskets of peaches. Each basket has <1> red peaches and <2> green peaches. If there are a total of <3> peaches in all baskets How many baskets of peaches are there?,( <3> / ( <1> + <2> ) ),"['<1>', '<2>', '<3>']","['4', '3', '7']",There are some baskets of peaches. Each basket has 4 red peaches and 3 green peaches. If there are a total of 7 peaches in all baskets how many baskets of peaches are there?
33,chal-34,Subtraction,There were <1> dollars in Olivia's wallet. She spent <2> dollars at a supermarket. How much money does she have left?,( <1> - <2> ),"['<1>', '<2>']","['78', '15']",There were 78 dollars in Olivia's wallet. She spent 15 dollars at a supermarket. How much money does she have left?
34,chal-35,Subtraction,"Jack received <1> emails in the morning, <2> emails in the afternoon and some more in the evening. If he received a total of <3> emails in the day How many emails did Jack receive in the afternoon?",( <3> - ( <1> + <2> ) ),"['<1>', '<2>', '<3>']","['6', '3', '10']","Jack received 6 emails in the morning, 3 emails in the afternoon and some more in the evening. If he received a total of 10 emails in the day how many emails did Jack receive in the afternoon?"
35,chal-36,Addition,Dan has $ <1>. He bought a candy bar for $ <2>. Then his friend gave him $ <3> How much money is left?,( ( <1> - <2> ) + <3> ),"['<1>', '<2>', '<3>']","['4', '8', '5']",Dan has $ 4. He bought a candy bar for $ 8. Then his friend gave him $ 5 how much money is left?
36,chal-37,Addition,"After eating a hearty meal they went to see the Buckingham palace. There, Rachel learned that <1> visitors came to the Buckingham palace on the previous day. If there were <2> visitors on that day How many visited the Buckingham palace within <3> days?",( <2> + <1> ),"['<1>', '<2>', '<3>']","['703', '246', '25']","After eating a hearty meal they went to see the Buckingham palace. There, Rachel learned that 703 visitors came to the Buckingham palace on the previous day. If there were 246 visitors on that day how many visited the Buckingham palace within 25 days?"
37,chal-38,Subtraction,For Gwen's birthday she received <1> dollars from her dad. Her mom gave her <2> more dollars. If she spent <3> dollars. How much more money did she receive from her mom than she did from her dad?,( <2> - <1> ),"['<1>', '<2>', '<3>']","['5', '7', '4']",For Gwen's birthday she received 5 dollars from her dad. Her mom gave her 7 more dollars. If she spent 4 dollars. How much more money did she receive from her mom than she did from her dad?
38,chal-39,Common-Division,There are <1> bananas and <2> oranges in Philip's collection. If the bananas are organized into <3> groups and oranges are organized into <4> groups How big is each group of oranges?,( <2> / <4> ),"['<1>', '<2>', '<3>', '<4>']","['142', '356', '47', '178']",There are 142 bananas and 356 oranges in Philip's collection. If the bananas are organized into 47 groups and oranges are organized into 178 groups how big is each group of oranges?
39,chal-40,Subtraction,There are <1> different books and <2> different movies in the ' crazy silly school ' series. If you read <3> of the movies and watched <4> of the books How many more movies than books have you read?,( <3> - <4> ),"['<1>', '<2>', '<3>', '<4>']","['8', '5', '19', '16']",There are 8 different books and 5 different movies in the ' crazy silly school ' series. If you read 19 of the movies and watched 16 of the books how many more movies than books have you read?
40,chal-41,Subtraction,Mary is baking a cake. The recipe calls for <1> cups of flour and <2> cups of sugar. She already put in some cups of flour. If she still needs 2 more cups of flour How many cups of flour did she put in?,( <1> - <3> ),"['<1>', '<2>', '<3>']","['12', '5', '2']",Mary is baking a cake. The recipe calls for 12 cups of flour and 5 cups of sugar. She already put in some cups of flour. If she still needs 2 more cups of flour how many cups of flour did she put in?
41,chal-42,Subtraction,Danny collects bottle caps and wrappers. He found <1> wrappers and <2> bottle caps at the park. Now he has <3> bottle caps and <4> wrappers in his collection. How many more bottle caps than wrappers did danny find at the park?,( <2> - <1> ),"['<1>', '<2>', '<3>', '<4>']","['46', '50', '21', '52']",Danny collects bottle caps and wrappers. He found 46 wrappers and 50 bottle caps at the park. Now he has 21 bottle caps and 52 wrappers in his collection. How many more bottle caps than wrappers did danny find at the park?
42,chal-43,Multiplication,Luke played <1> rounds of a trivia game. If he gained <2> points in each round How many points did he score in the game?,( <1> * <2> ),"['<1>', '<2>']","['177', '46']",Luke played 177 rounds of a trivia game. If he gained 46 points in each round how many points did he score in the game?
43,chal-44,Subtraction,<1> birds and <2> storks were sitting on the fence. 2 more birds came to join them. How many more birds than storks are sitting on the fence?,( ( <1> + <3> ) - <2> ),"['<1>', '<2>', '<3>']","['3', '4', '2']",3 birds and 4 storks were sitting on the fence. 2 more birds came to join them. How many more birds than storks are sitting on the fence?
44,chal-45,Subtraction,"The grasshopper, the frog and the mouse had a jumping contest. The grasshopper jumped <1> inches. The mouse jumped <2> inches lesser than the frog who jumped <2>3 inches farther than the grasshopper. How far did the mouse jump?",( ( <1> + <3> ) - <2> ),"['<1>', '<2>', '<3>']","['9', '3', '33']","The grasshopper, the frog and the mouse had a jumping contest. The grasshopper jumped 9 inches. The mouse jumped 3 inches lesser than the frog who jumped 33 inches farther than the grasshopper. How far did the mouse jump?"
45,chal-46,Subtraction,Zachary did <1> push-ups and <2> crunches in gym class today. David did <3> more push-ups but <4> less crunches than zachary. How many more push-ups than crunches did Zachary do?,( <1> - <2> ),"['<1>', '<2>', '<3>', '<4>']","['35', '3', '58', '87']",Zachary did 35 push-ups and 3 crunches in gym class today. David did 58 more push-ups but 87 less crunches than zachary. How many more push-ups than crunches did Zachary do?
46,chal-47,Addition,"Jack received <1> emails in the morning, <2> emails in the afternoon and <3> emails in the evening. How many emails did Jack receive in the afternoon and evening?",( <2> + <3> ),"['<1>', '<2>', '<3>']","['4', '5', '8']","Jack received 4 emails in the morning, 5 emails in the afternoon and 8 emails in the evening. How many emails did Jack receive in the afternoon and evening?"
47,chal-48,Subtraction,Jerry had <1> action figures on a shelf in his room. Later he added some more action figures to the shelf and removed <2> of the old ones. If there are <3> action figures on his shelf now How many action figures did he add to the shelf?,( ( <3> + <2> ) - <1> ),"['<1>', '<2>', '<3>']","['7', '10', '8']",Jerry had 7 action figures on a shelf in his room. Later he added some more action figures to the shelf and removed 10 of the old ones. If there are 8 action figures on his shelf now how many action figures did he add to the shelf?
48,chal-49,Addition,Julia played tag with <1> kids on monday. She played tag with <2> kids on tuesday. She spent a total of <3> hours to play tag on both days. How many kids did she play with altogether?,( <1> + <2> ),"['<1>', '<2>', '<3>']","['12', '14', '34']",Julia played tag with 12 kids on monday. She played tag with 14 kids on tuesday. She spent a total of 34 hours to play tag on both days. How many kids did she play with altogether?
49,chal-50,Subtraction,Nell collects cards. She had <1> baseball cards and <2> Ace cards. She gave some of her cards to Jeff and now has <3> baseball cards and <4> Ace cards left. How many more baseball cards than Ace cards does Nell have?,( <3> - <4> ),"['<1>', '<2>', '<3>', '<4>']","['309', '356', '415', '149']",Nell collects cards. She had 309 baseball cards and 356 Ace cards. She gave some of her cards to Jeff and now has 415 baseball cards and 149 Ace cards left. How many more baseball cards than Ace cards does Nell have?
50,chal-51,Subtraction,"At the zoo, a cage had <1> snakes and <2> alligators. If <3> alligators were hiding How many alligators were not hiding?",( <2> - <3> ),"['<1>', '<2>', '<3>']","['93', '97', '40']","At the zoo, a cage had 93 snakes and 97 alligators. If 40 alligators were hiding how many alligators were not hiding?"
51,chal-52,Subtraction,You have read <1> books from the ' crazy silly school ' series. If there are a total of <2> different books in the ' crazy silly school ' series How many more do you still have to read?,( <2> - <1> ),"['<1>', '<2>']","['8', '14']",You have read 8 books from the ' crazy silly school ' series. If there are a total of 14 different books in the ' crazy silly school ' series how many more do you still have to read?
52,chal-53,Common-Division,Emily is making bead necklaces for her <1> friends. She had <2> beads and she was able to make <3> necklaces. How many beads did each necklace need?,( <2> / <3> ),"['<1>', '<2>', '<3>']","['43', '20', '5']",Emily is making bead necklaces for her 43 friends. She had 20 beads and she was able to make 5 necklaces. How many beads did each necklace need?
53,chal-54,Common-Division,Frank put <1> pieces of candy in each bag. If he had <2> pieces of candy How many bags would he have?,( <2> / <1> ),"['<1>', '<2>']","['11', '22']",Frank put 11 pieces of candy in each bag. If he had 22 pieces of candy how many bags would he have?
54,chal-55,Addition,A waiter had <1> customers. After some left he still had <2> customers. Then he got <3> new customers How many customers does he have now?,( <2> + <3> ),"['<1>', '<2>', '<3>']","['12', '14', '10']",A waiter had 12 customers. After some left he still had 14 customers. Then he got 10 new customers how many customers does he have now?
55,chal-56,Addition,A farmer had <1> tomatoes in his garden. If he picked <2> of them yesterday and <3> today. How many tomatoes did he pick in all?,( <2> + <3> ),"['<1>', '<2>', '<3>']","['90', '154', '50']",A farmer had 90 tomatoes in his garden. If he picked 154 of them yesterday and 50 today. How many tomatoes did he pick in all?
56,chal-57,Addition,"<1> red peaches, <2> yellow peaches and <3> green peaches are in the basket. How many green and yellow peaches are in the basket?",( <3> + <2> ),"['<1>', '<2>', '<3>']","['5', '14', '6']","5 red peaches, 14 yellow peaches and 6 green peaches are in the basket. How many green and yellow peaches are in the basket?"
57,chal-58,Subtraction,Winter is almost here and most animals are migrating to warmer countries. There were <1> bird families living near the mountain. If <2> bird families flew away for winter How many more bird families flew away for the winter than those that stayed behind?,( <2> - ( <1> - <2> ) ),"['<1>', '<2>']","['89', '60']",Winter is almost here and most animals are migrating to warmer countries. There were 89 bird families living near the mountain. If 60 bird families flew away for winter how many more bird families flew away for the winter than those that stayed behind?
58,chal-59,Subtraction,There were <1> roses and <2> orchids in the vase. Jessica cut some more roses and orchids from her flower garden. There are now <3> orchids and 3 roses in the vase. How many more orchids than roses are there in the vase now?,( <3> - <4> ),"['<1>', '<2>', '<3>', '<4>']","['9', '6', '13', '3']",There were 9 roses and 6 orchids in the vase. Jessica cut some more roses and orchids from her flower garden. There are now 13 orchids and 3 roses in the vase. How many more orchids than roses are there in the vase now?
59,chal-60,Subtraction,"After eating a hearty meal they went to see the Buckingham palace. There were <1> paintings in the Buckingham palace. There, Rachel learned that <2> visitors came to the Buckingham palace that day. If there were <3> visitors the previous day How many more visitors visited the Buckingham palace on that day than on the previous day?",( <2> - <3> ),"['<1>', '<2>', '<3>']","['39', '661', '600']","After eating a hearty meal they went to see the Buckingham palace. There were 39 paintings in the Buckingham palace. There, Rachel learned that 661 visitors came to the Buckingham palace that day. If there were 600 visitors the previous day how many more visitors visited the Buckingham palace on that day than on the previous day?"
60,chal-61,Addition,A waiter had <1> customers. While <2> customers left he got <3> new customers. How many customers does he still have?,( ( <1> - <2> ) + <3> ),"['<1>', '<2>', '<3>']","['12', '15', '14']",A waiter had 12 customers. While 15 customers left he got 14 new customers. How many customers does he still have?
61,chal-62,Common-Division,Emily is making bead necklaces for her <1> friends. She has <2> beads and each necklace takes <3> beads. How many necklaces can Emily make?,( <2> / <3> ),"['<1>', '<2>', '<3>']","['72', '6', '3']",Emily is making bead necklaces for her 72 friends. She has 6 beads and each necklace takes 3 beads. How many necklaces can Emily make?
62,chal-63,Common-Division,He also had <1> aquariums for saltwater animals. The aquarium had <2> saltwater animals in total and every aquarium had the same number of animals. How many saltwater animals does each aquarium have?,( <2> / <1> ),"['<1>', '<2>']","['26', '52']",He also had 26 aquariums for saltwater animals. The aquarium had 52 saltwater animals in total and every aquarium had the same number of animals. How many saltwater animals does each aquarium have?
63,chal-64,Subtraction,Mary is baking a cake. The recipe calls for <1> cups of flour and <2> cups of sugar. She already put in some cups of flour. If she still needs 2 more cups of flour than sugar How many cups of flour did she put in?,( ( <1> - <2> ) - <3> ),"['<1>', '<2>', '<3>']","['11', '7', '2']",Mary is baking a cake. The recipe calls for 11 cups of flour and 7 cups of sugar. She already put in some cups of flour. If she still needs 2 more cups of flour than sugar how many cups of flour did she put in?
64,chal-65,Subtraction,Baker made <1> cakes and <2> pastries. If he sold <3> cakes and <4> pastries How many cakes would baker still have?,( <1> - <3> ),"['<1>', '<2>', '<3>', '<4>']","['149', '91', '10', '90']",Baker made 149 cakes and 91 pastries. If he sold 10 cakes and 90 pastries how many cakes would baker still have?
65,chal-66,Subtraction,Dave had <1> files and <2> apps on his phone. After deleting some apps and files he had <3> apps and <4> files left. How many files did he delete?,( <1> - <4> ),"['<1>', '<2>', '<3>', '<4>']","['24', '13', '17', '21']",Dave had 24 files and 13 apps on his phone. After deleting some apps and files he had 17 apps and 21 files left. How many files did he delete?
66,chal-67,Common-Division,An industrial machine made <1> shirts yesterday and <2> shirts today. It can make 2 shirts a minute. How many minutes did the machine work today?,( <2> / <3> ),"['<1>', '<2>', '<3>']","['9', '8', '2']",An industrial machine made 9 shirts yesterday and 8 shirts today. It can make 2 shirts a minute. How many minutes did the machine work today?
67,chal-68,Common-Division,Rebecca wants to split a collection of eggs into <1> groups. Rebecca has <2> marbles and <3> eggs. How many eggs will each group have?,( <3> / <1> ),"['<1>', '<2>', '<3>']","['3', '4', '15']",Rebecca wants to split a collection of eggs into 3 groups. Rebecca has 4 marbles and 15 eggs. How many eggs will each group have?
68,chal-69,Multiplication,Matthew had some crackers. If Matthew gave <1> crackers to each of his <2> friends How many crackers did Matthew have?,( <2> * <1> ),"['<1>', '<2>']","['2', '11']",Matthew had some crackers. If Matthew gave 2 crackers to each of his 11 friends how many crackers did Matthew have?
69,chal-70,Addition,Olivia spent <1> dollars at a supermarket. If she has <2> dollars left with her How much money did she have initially?,( <1> + <2> ),"['<1>', '<2>']","['78', '33']",Olivia spent 78 dollars at a supermarket. If she has 33 dollars left with her how much money did she have initially?
70,chal-71,Multiplication,If Lewis earns $ <1> every week during the <2> weeks of a harvest season. How much money will he earn if he works for <3> harvest seasons?,( ( <1> * <2> ) * <3> ),"['<1>', '<2>', '<3>']","['1357', '223', '73']",If Lewis earns $ 1357 every week during the 223 weeks of a harvest season. How much money will he earn if he works for 73 harvest seasons?
71,chal-72,Subtraction,Because of the decision Sofia asked <1> students to suggest specific types of food. <2> students suggested adding mashed potatoes while others suggested adding bacon to the menu. How many students suggested bacon?,( <1> - <2> ),"['<1>', '<2>']","['310', '185']",Because of the decision Sofia asked 310 students to suggest specific types of food. 185 students suggested adding mashed potatoes while others suggested adding bacon to the menu. How many students suggested bacon?
72,chal-73,Addition,Jack received <1> emails and <2> letters in the morning. He then received <3> emails and <3>4 letters in the afternoon. How many emails did jack receive in the day?,( <1> + <3> ),"['<1>', '<2>', '<3>', '<4>']","['3', '64', '5', '54']",Jack received 3 emails and 64 letters in the morning. He then received 5 emails and 54 letters in the afternoon. How many emails did jack receive in the day?
73,chal-74,Addition,Paco had <1> cookies. He ate <2> of them. Then he bought <3> more cookies How many cookies did Paco have left?,( ( <1> - <2> ) + <3> ),"['<1>', '<2>', '<3>']","['40', '2', '37']",Paco had 40 cookies. He ate 2 of them. Then he bought 37 more cookies how many cookies did Paco have left?
74,chal-75,Addition,Because of the decision Sofia asked the students to suggest specific types of food. If <1> students suggested adding mashed potatoes as well as bacon while <2> suggested adding only bacon to the menu How many students suggested adding bacon?,( <1> + <2> ),"['<1>', '<2>']","['218', '351']",Because of the decision Sofia asked the students to suggest specific types of food. If 218 students suggested adding mashed potatoes as well as bacon while 351 suggested adding only bacon to the menu how many students suggested adding bacon?
75,chal-76,Multiplication,If each bag has <1> cookies and you had <2> bags of cookies How many cookies would you have?,( <2> * <1> ),"['<1>', '<2>']","['41', '53']",If each bag has 41 cookies and you had 53 bags of cookies how many cookies would you have?
76,chal-77,Subtraction,Rachel had to complete <1> pages of reading homework and <2> pages of math homework. How many more pages of math homework than reading homework did she have?,( <2> - <1> ),"['<1>', '<2>']","['2', '4']",Rachel had to complete 2 pages of reading homework and 4 pages of math homework. How many more pages of math homework than reading homework did she have?
77,chal-78,Addition,Allan brought <1> balloons and Jake brought <2> balloons to the park. Allan then bought <3> more balloons at the park. How many balloons did Allan bring to the park?,( <1> + <3> ),"['<1>', '<2>', '<3>']","['5', '4', '3']",Allan brought 5 balloons and Jake brought 4 balloons to the park. Allan then bought 3 more balloons at the park. How many balloons did Allan bring to the park?
78,chal-79,Subtraction,"Julia played tag with <1> kids on monday, <2> kids on tuesday and <3> kids on wednesday. How many more kids did she play with on tuesday than on wednesday?",( <2> - <3> ),"['<1>', '<2>', '<3>']","['8', '11', '9']","Julia played tag with 8 kids on monday, 11 kids on tuesday and 9 kids on wednesday. How many more kids did she play with on tuesday than on wednesday?"
79,chal-80,Multiplication,The Razorback shop makes $ <1> dollars off each jersey and $ <2> off each t-shirt. During the Arkansas and Texas tech game they sold <3> t-shirts and <4> jerseys. How much money did they make from selling the t-shirts?,( <2> * <3> ),"['<1>', '<2>', '<3>', '<4>']","['5', '215', '20', '64']",The Razorback shop makes $ 5 dollars off each jersey and $ 215 off each t-shirt. During the Arkansas and Texas tech game they sold 20 t-shirts and 64 jerseys. How much money did they make from selling the t-shirts?
80,chal-81,Subtraction,<1> children were riding on the bus. At the bus stop <2> children got off the bus while some more got on the bus. Then there were <3> children altogether on the bus. How many more children got off the bus than those that got on?,( <1> - <3> ),"['<1>', '<2>', '<3>']","['36', '68', '12']",36 children were riding on the bus. At the bus stop 68 children got off the bus while some more got on the bus. Then there were 12 children altogether on the bus. How many more children got off the bus than those that got on?
